 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto, Japan           |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              Dst                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               Dst                                          |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Quicklook                                    |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr)               |
 # The values in the raw of 00:00:00.000 are the mean values         |
 #  between 00:00UT and 01:00UT, etc.                                |
 # Missing values are indicated by value 9999                        |
 # Dst: Disturbed Storm Time, unit 1 nT                              |
 #                                                                   |
 # For more information on Dst index, please visit                   |
 #  World Data Center for Geomagnetism (Kyoto) website :             |
 #  http://wdc.kugi.kyoto-u.ac.jp/                                   |
DATE       TIME         DOY    Dst                                   |
2022-03-24 22:00:00.000 083      8
2022-03-24 23:00:00.000 083      3
2022-03-25 00:00:00.000 084     -2
2022-03-25 01:00:00.000 084      0
2022-03-25 02:00:00.000 084     -3
2022-03-25 03:00:00.000 084     -4
2022-03-25 04:00:00.000 084      2
2022-03-25 05:00:00.000 084      5
2022-03-25 06:00:00.000 084      7
2022-03-25 07:00:00.000 084      5
2022-03-25 08:00:00.000 084      4
2022-03-25 09:00:00.000 084      4
2022-03-25 10:00:00.000 084     -6
2022-03-25 11:00:00.000 084    -12
2022-03-25 12:00:00.000 084     -9
2022-03-25 13:00:00.000 084     -5
2022-03-25 14:00:00.000 084     -3
2022-03-25 15:00:00.000 084     -1
2022-03-25 16:00:00.000 084      1
2022-03-25 17:00:00.000 084      1
2022-03-25 18:00:00.000 084     -1
2022-03-25 19:00:00.000 084     -2
2022-03-25 20:00:00.000 084      3
2022-03-25 21:00:00.000 084      5
2022-03-25 22:00:00.000 084      4
2022-03-25 23:00:00.000 084      0
