 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto, Japan           |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              Dst                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               Dst                                          |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Quicklook                                    |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr)               |
 # The values in the raw of 00:00:00.000 are the mean values         |
 #  between 00:00UT and 01:00UT, etc.                                |
 # Missing values are indicated by value 9999                        |
 # Dst: Disturbed Storm Time, unit 1 nT                              |
 #                                                                   |
 # For more information on Dst index, please visit                   |
 #  World Data Center for Geomagnetism (Kyoto) website :             |
 #  http://wdc.kugi.kyoto-u.ac.jp/                                   |
DATE       TIME         DOY    Dst                                   |
2022-03-12 00:00:00.000 071    -38
2022-03-12 01:00:00.000 071    -33
2022-03-12 02:00:00.000 071    -37
2022-03-12 03:00:00.000 071    -48
2022-03-12 04:00:00.000 071    -50
2022-03-12 05:00:00.000 071    -49
2022-03-12 06:00:00.000 071    -42
2022-03-12 07:00:00.000 071    -33
2022-03-12 08:00:00.000 071    -24
2022-03-12 09:00:00.000 071    -21
2022-03-12 10:00:00.000 071    -19
2022-03-12 11:00:00.000 071    -19
2022-03-12 12:00:00.000 071    -16
2022-03-12 13:00:00.000 071    -16
2022-03-12 14:00:00.000 071    -13
2022-03-12 15:00:00.000 071    -12
2022-03-12 16:00:00.000 071     -9
2022-03-12 17:00:00.000 071     -8
2022-03-12 18:00:00.000 071     -7
2022-03-12 19:00:00.000 071     -6
2022-03-12 20:00:00.000 071     -6
2022-03-12 21:00:00.000 071     -9
2022-03-12 22:00:00.000 071    -11
2022-03-12 23:00:00.000 071    -10
2022-03-13 00:00:00.000 072     -8
2022-03-13 01:00:00.000 072     -8
2022-03-13 02:00:00.000 072    -14
2022-03-13 03:00:00.000 072    -14
2022-03-13 04:00:00.000 072    -10
2022-03-13 05:00:00.000 072     -6
2022-03-13 06:00:00.000 072     -6
2022-03-13 07:00:00.000 072     -3
2022-03-13 08:00:00.000 072     -2
2022-03-13 09:00:00.000 072     -1
2022-03-13 10:00:00.000 072     -1
2022-03-13 11:00:00.000 072     36
2022-03-13 12:00:00.000 072     29
2022-03-13 13:00:00.000 072     16
2022-03-13 14:00:00.000 072    -13
2022-03-13 15:00:00.000 072    -24
2022-03-13 16:00:00.000 072    -12
2022-03-13 17:00:00.000 072    -25
2022-03-13 18:00:00.000 072    -55
2022-03-13 19:00:00.000 072    -50
2022-03-13 20:00:00.000 072    -29
2022-03-13 21:00:00.000 072    -28
2022-03-13 22:00:00.000 072    -24
2022-03-13 23:00:00.000 072    -81
2022-03-14 00:00:00.000 073    -83
2022-03-14 01:00:00.000 073    -63
2022-03-14 02:00:00.000 073    -57
2022-03-14 03:00:00.000 073    -62
2022-03-14 04:00:00.000 073    -60
2022-03-14 05:00:00.000 073    -54
2022-03-14 06:00:00.000 073    -48
2022-03-14 07:00:00.000 073    -36
2022-03-14 08:00:00.000 073    -24
2022-03-14 09:00:00.000 073    -23
2022-03-14 10:00:00.000 073    -21
2022-03-14 11:00:00.000 073    -25
2022-03-14 12:00:00.000 073    -27
2022-03-14 13:00:00.000 073    -27
2022-03-14 14:00:00.000 073    -29
2022-03-14 15:00:00.000 073    -29
2022-03-14 16:00:00.000 073    -27
2022-03-14 17:00:00.000 073    -24
2022-03-14 18:00:00.000 073    -20
2022-03-14 19:00:00.000 073    -21
2022-03-14 20:00:00.000 073    -22
2022-03-14 21:00:00.000 073    -26
2022-03-14 22:00:00.000 073    -27
2022-03-14 23:00:00.000 073    -24
2022-03-15 00:00:00.000 074    -20
2022-03-15 01:00:00.000 074    -13
2022-03-15 02:00:00.000 074     -9
2022-03-15 03:00:00.000 074     -9
2022-03-15 04:00:00.000 074    -14
2022-03-15 05:00:00.000 074    -18
2022-03-15 06:00:00.000 074    -19
2022-03-15 07:00:00.000 074    -17
2022-03-15 08:00:00.000 074    -15
2022-03-15 09:00:00.000 074    -14
2022-03-15 10:00:00.000 074    -16
2022-03-15 11:00:00.000 074    -19
2022-03-15 12:00:00.000 074    -22
2022-03-15 13:00:00.000 074    -26
2022-03-15 14:00:00.000 074    -25
2022-03-15 15:00:00.000 074    -22
2022-03-15 16:00:00.000 074    -21
2022-03-15 17:00:00.000 074    -21
2022-03-15 18:00:00.000 074    -19
2022-03-15 19:00:00.000 074    -17
2022-03-15 20:00:00.000 074    -13
2022-03-15 21:00:00.000 074    -13
2022-03-15 22:00:00.000 074    -18
2022-03-15 23:00:00.000 074    -18
2022-03-16 00:00:00.000 075    -13
2022-03-16 01:00:00.000 075     -9
2022-03-16 02:00:00.000 075     -7
2022-03-16 03:00:00.000 075     -7
2022-03-16 04:00:00.000 075     -6
2022-03-16 05:00:00.000 075     -5
2022-03-16 06:00:00.000 075     -5
2022-03-16 07:00:00.000 075     -6
2022-03-16 08:00:00.000 075     -7
2022-03-16 09:00:00.000 075     -8
2022-03-16 10:00:00.000 075     -9
2022-03-16 11:00:00.000 075    -12
2022-03-16 12:00:00.000 075    -12
2022-03-16 13:00:00.000 075    -10
2022-03-16 14:00:00.000 075    -10
2022-03-16 15:00:00.000 075     -7
2022-03-16 16:00:00.000 075     -5
2022-03-16 17:00:00.000 075     -4
2022-03-16 18:00:00.000 075     -1
2022-03-16 19:00:00.000 075     -3
2022-03-16 20:00:00.000 075     -4
2022-03-16 21:00:00.000 075    -11
2022-03-16 22:00:00.000 075    -15
2022-03-16 23:00:00.000 075    -17
2022-03-17 00:00:00.000 076    -16
2022-03-17 01:00:00.000 076    -15
2022-03-17 02:00:00.000 076    -12
2022-03-17 03:00:00.000 076     -9
2022-03-17 04:00:00.000 076     -9
2022-03-17 05:00:00.000 076     -6
2022-03-17 06:00:00.000 076     -6
2022-03-17 07:00:00.000 076     -6
2022-03-17 08:00:00.000 076     -8
2022-03-17 09:00:00.000 076    -10
2022-03-17 10:00:00.000 076     -9
2022-03-17 11:00:00.000 076     -7
2022-03-17 12:00:00.000 076    -11
